169.254.150.167, 2015-07-31 15:31:59, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.009226
169.254.150.167, 2015-07-31 15:31:59, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.012575
169.254.150.167, 2015-07-31 15:31:59, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.005939
169.254.150.167, 2015-07-31 15:31:59, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006029
169.254.150.167, 2015-07-31 15:31:59, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.006053
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.016940
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.017237
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.009167
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.016316
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.006666
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.006168
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.006119
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.011816
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.016085
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.016229
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.006002
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.006031
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005919
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.005885
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.016517
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.006305
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.022943
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.006128
169.254.150.167, 2015-07-31 15:32:00, GET, /admin/static/_2.11.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.006112
